Provincia;Total de viviendas particulares;Total de población
Capital Federal;1.638.764;3.120.612
Buenos Aires;6.695.273;17.569.053
Catamarca;158.989;429.556
Chaco;401.658;1.142.963
Chubut;236.010;603.120
Córdoba;1.630.356;3.978.984
Corrientes;406.480;1.197.553
Entre Ríos;559.398;1.426.426
Formosa;212.941;606.041
Jujuy;276.222;797.955
La Pampa;163.805;366.022
La Rioja;149.910;384.607
Mendoza;708.354;2.014.533
Misiones;466.850;1.280.960
Neuquén;273.685;726.590
Río Negro;295.502;762.067
Salta;478.433;1.440.672
San Juan;265.047;818.234
San Luis;201.271;540.905
Santa Cruz;131.395;333.473
Santa Fe;1.458.652;3.556.522
Santiago Del Estero;348.705;1.054.028
Tierra Del Fuego;67.091;190.641
Tucumán;555.419;1.703.186
