Año,Trimestre,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Periodo
2022,4,1315373.0,6037457.0,3060575.0,572969.0,221740.0,11208114.0,Oct-Dic 2022
2022,3,1395277.0,6031970.0,2871541.0,557110.0,235230.0,11091128.0,Jul-Sept 2022
2022,2,1468333.0,5979214.0,2723285.0,556243.0,231609.0,10958684.0,Abr-Jun 2022
2022,1,1533240.0,6073426.0,2219533.0,545814.0,251996.0,10624009.0,Ene-Mar 2022
2021,4,1657615.0,5984240.0,2072236.0,523107.0,252596.0,10489794.0,Oct-Dic 2021
2021,3,1950631.0,5826257.0,1566048.0,492415.0,250190.0,10085541.0,Jul-Sept 2021
2021,2,2018587.0,5641731.0,1472246.0,476968.0,253552.0,9863084.0,Abr-Jun 2021
2021,1,2175211.0,5424782.0,1362976.0,434548.0,250455.0,9647972.0,Ene-Mar 2021
2020,4,2213949.0,5371824.0,1311199.0,421554.0,253036.0,9571562.0,Oct-Dic 2020
2020,3,2263889.0,5259351.0,1170879.0,413259.0,248821.0,9356199.0,Jul-Sept 2020
2020,2,2295533.0,5005115.0,1106725.0,376667.0,247016.0,9031056.0,Abr-Jun 2020
2020,1,2299457.0,4903674.0,1047817.0,352333.0,209145.0,8812426.0,Ene-Mar 2020
2019,4,2414575.0,4883869.0,941295.0,340144.0,213298.0,8793181.0,Oct-Dic 2019
2019,3,2909805.0,4800091.0,852221.0,338241.0,264326.0,9164684.0,Jul-Sept 2019
2019,2,2990457.0,4635575.0,760794.0,308027.0,265328.0,8960181.0,Abr-Jun 2019
2019,1,3132789.0,4435439.0,637099.0,276419.0,166389.0,8648135.0,Ene-Mar 2019
2018,4,3329027.0,4313831.0,388013.0,264299.0,178485.0,8473655.0,Oct-Dic 2018
2018,3,3521447.0,4238171.0,247366.0,246181.0,93870.0,8347035.0,Jul-Sept 2018
2018,2,3557216.0,4038141.0,226285.0,194267.0,94535.0,8110444.0,Abr-Jun 2018
2018,1,3574294.0,3981129.0,217460.0,165300.0,98870.0,8037053.0,Ene-Mar 2018
2017,4,3584311.0,3818157.0,211425.0,155775.0,100554.0,7870222.0,Oct-Dic 2017
2017,3,3622575.0,3670221.0,193964.0,106443.0,131740.0,7724943.0,Jul-Sept 2017
2017,2,3723518.0,3383434.0,180777.0,85813.0,56122.0,7429664.0,Abr-Jun 2017
2017,1,3708898.0,3276251.0,180146.0,84813.0,55746.0,7305854.0,Ene-Mar 2017
2016,4,3722794.0,3210602.0,178070.0,85119.0,55088.0,7251673.0,Oct-Dic 2016
2016,3,3776442.0,3124855.0,169898.0,81455.0,54300.0,7206950.0,Jul-Sept 2016
2016,2,3782085.0,3035272.0,167788.0,85452.0,59482.0,7130079.0,Abr-Jun 2016
2016,1,3792493.0,2806359.0,164371.0,85370.0,58763.0,6907356.0,Ene-Mar 2016
2015,4,3803024.0,2898226.0,139187.0,85726.0,58668.0,6984831.0,Oct-Dic 2015
2015,3,3788696.0,2840203.0,162663.0,84530.0,58976.0,6935068.0,Jul-Sept 2015
2015,2,3767821.0,2756294.0,150839.0,82077.0,59157.0,6816188.0,Abr-Jun 2015
2015,1,3756153.0,2668248.0,168188.0,79098.0,66045.0,6737732.0,Ene-Mar 2015
2014,4,3764038.0,2536219.0,149682.0,76984.0,71573.0,6598496.0,Oct-Dic 2014
2014,3,3714764.0,2569868.0,155494.0,85096.0,70049.0,6595271.0,Jul-Sept 2014
2014,2,3708882.0,2461670.0,149363.0,72405.0,72148.0,6464468.0,Abr-Jun 2014
2014,1,3697066.0,2407330.0,150323.0,70749.0,72930.0,6398398.0,Ene-Mar 2014
